company_name,symbol
Rockingdeals Circular Economy Ltd.,ROCKINGDCESM
SKM Egg Products Export (India) Ltd.,SKMEGGPRODEQ1
SKM Egg Products Export (India) Ltd.,SKMEGGPRODEQ
Jubilant Foodworks Ltd.,JUBLFOODEQ
Dodla Dairy Ltd.,DODLAEQ
SPP Polymer Ltd.,SPPPOLYSM
Parag Milk Foods Ltd.,PARAGMILKEQ
Devyani International Ltd.,DEVYANIEQ
Sarveshwar Foods Ltd.,SARVESHWAREQ
Neopolitan Pizza and Foods Ltd.,NEOIT
Euro India Fresh Foods Ltd.,EIFFLBE
Prataap Snacks Ltd.,DIAMONDYDEQ
Apex Frozen Foods Ltd.,APEXEQ
ICE Make Refrigeration Ltd.,ICEMAKEEQ
Megastar Foods Ltd.,MEGASTAREQ
Nakoda Group Of Industries Ltd.,NGILEQ
Nakoda Group Of Industries Ltd.,NGIL-REBE
Nakoda Group Of Industries Ltd.,NGIL-RE2BE
Dangee Dums Ltd.,DANGEEEQ
Mrs. Bectors Food Specialities Ltd.,BECTORFOODEQ
Walpar Nutritions Ltd.,WALPARSM
Sapphire Foods India Ltd.,SAPPHIREEQ
Krishival Foods Ltd.,KRISHIVALSM
Tapi Fruit Processing Ltd.,TAPIFRUITSM
Annapurna Swadisht Ltd.,ANNAPURNASM
Bikaji Foods International Ltd.,BIKAJIEQ
HMA Agro Industries Ltd.,HMAAGROEQ
Srivari Spices and Foods Ltd.,SSFLST
Srivari Spices and Foods Ltd.,SSFL-REST
Madhusudan Masala Ltd.,MADHUSUDANSM
Baba Food Processing (India) Ltd.,BABAFPSM
Sheetal Universal Ltd.,SHEETALSM
Indian Emulsifiers Ltd.,IEMLSM
HOAC Foods India Ltd.,HOACFOODSSM
Freshara Agro Exports Ltd.,FRESHARAST
Gallantt Ispat Ltd.(old),GALLISPATEQ
KCP Sugar & Industries Corporation Ltd.,KCPSUGINDEQ1
KCP Sugar & Industries Corporation Ltd.,KCPSUGINDBE
Dwarikesh Sugar Industries Ltd.,DWARKESHEQ
Ponni Sugars (Erode) Ltd.,PONNIERODEEQ
KM Sugar Mills Ltd.,KMSUGAREQ
Shree Renuka Sugars Ltd.,RENUKAEQ
Uttam Sugar Mills Ltd.,UTTAMSUGAREQ
Godavari Biorefineries Ltd.,GODAVBIOEQ
Avadh Sugar & Energy Ltd.,AVADHSUGAREQ
Magadh Sugar & Energy Ltd.,MAGADSUGAREQ
Vishwaraj Sugar Industries Ltd.,VISHWARAJEQ
Dhampur Bio Organics Ltd.,DBOLEQ
Dollex Agrotech Ltd.,DOLLEXSM
Usher Agro Ltd.,USHERAGROBE
Madhya Bharat Agro Products Ltd.,MBAPLEQ
Baba Agro Food Ltd.,BABAFOODSM
Jubilant Ingrevia Ltd.,JUBLINGREAEQ
MVK Agro Food Product Ltd.,MVKAGROSM
Vishwas Agri Seeds Ltd.,VISHWASSM
TBI Corn Ltd.,TBIST
Phoenix Overseas Ltd.,PHOGLOBALSM
ACC Ltd.,ACCEQ
Andhra Cements Ltd.,ACLEQ
Birla Corporation Ltd.,BIRLAJUTEEQ1
Birla Corporation Ltd.,BIRLACORPNEQ
Dalmia Bharat Sugar and Industries Ltd.,DALMIACEMEQ1
Dalmia Bharat Sugar and Industries Ltd.,DALMIASUGEQ
Dalmia Bharat Sugar and Industries Ltd.,DALMIACEMN1
Ambuja Cements Ltd.,AMBUJACEMT0
Ambuja Cements Ltd.,AMBUJACEMEQ
Ambuja Cements Ltd.,GUJAMBCEMN1
India Cements Ltd.,INDIACEMEQ
Heidelberg Cement India Ltd.,MYSORECEMEQ1
Heidelberg Cement India Ltd.,HEIDELBERGEQ
Panyam Cements & Mineral Industries Ltd.,PANYAMCEMBE
Rain Industries Ltd.,PRIYADCEMEQ1
Rain Industries Ltd.,RAINEQ
Saurashtra Cements Ltd.,SAURASHCEMEQ1
Saurashtra Cements Ltd.,SAURASHCEMEQ
Shree Cements Ltd.,SHREECEMEQ
Shree Digvijay Cement Company Ltd.,SHREDIGCEMEQ
Mangalam Cement Ltd.,MANGLMCEMEQ1
Mangalam Cement Ltd.,MANGLMCEMEQ
The Ramco Cements Ltd.,RAMCOCEMEQ
Radico Khaitan Ltd.,RADICOEQ
Gujarat Sidhee Cement Ltd.,GUJSIDHCEMEQ1
Gujarat Sidhee Cement Ltd.,GSCLCEMENTEQ
Prism Johnson Ltd.,PRSMJOHNSNEQ
Udaipur Cement Works Ltd.,JKUDYOGEQ1
Udaipur Cement Works Ltd.,UDAICEMENTEQ
Nuvoco Vistas Corporation Ltd.,NUVOCOEQ
Barak Valley Cements Ltd.,BVCLEQ
Burnpur Cement Ltd.,BURNPURBE
Orient Cement Ltd.,ORIENTCEMEQ
Dalmia Bharat Ltd.,DALBHARATEQ
Deccan Cements Ltd.,DECCANCEMEQ1
Deccan Cements Ltd.,DECCANCEEQ
NCL Industries Ltd.,NCLINDEQ
Sagar Cements Ltd.,SAGCEMEQ
Kakatiya Cement Sugar & Industries Ltd.,KAKATCEMEQ1
Kakatiya Cement Sugar & Industries Ltd.,KAKATCEMEQ
Anjani Portland Cement Ltd.,APCLEQ
Anjani Portland Cement Ltd.,APCL-REBE
UltraTech Cement Ltd.,ULTRACEMCOEQ
UltraTech Nathdwara Cement Ltd.,BINANICEMEQ
Jaiprakash Associates Ltd.,JPASSOCIATBE
JK Cement Ltd.,JKCEMENTEQ
Star Cement Ltd.,STARCEMENTEQ
Everest Industries Ltd.,ETERNEVRSTEQ1
Everest Industries Ltd.,EVERESTINDEQ
HIL Ltd.,HYDRBADINDEQ1
HIL Ltd.,HILEQ
Indian Hume Pipe Company Ltd.,INDIANHUMEEQ1
Indian Hume Pipe Company Ltd.,INDIANHUMEEQ
Visaka Industries Ltd.,VISAKAINDEQ1
Visaka Industries Ltd.,VISAKAINDEQ
Ramco Industries Ltd.,RAMCOINDEQ1
Ramco Industries Ltd.,RAMCOINDEQ
GPT Infraprojects Ltd.,GPTINFRAEQ
Sahyadri Industries Ltd.,SAHYADRIEQ
AGI Greenpac Ltd.,HINDSANITEQ1
AGI Greenpac Ltd.,AGIEQ
Kajaria Ceramics Ltd.,KAJARIACEREQ1
Kajaria Ceramics Ltd.,KAJARIACEREQ
Murudeshwar Ceramics Ltd.,MURUDCERAEQ1
Murudeshwar Ceramics Ltd.,MURUDCERAEQ
Regency Ceramics Ltd.,REGENCERAMEQ1
Regency Ceramics Ltd.,REGENCERAMBE
Somany Ceramics Ltd.,SPLLTDEQ1
Somany Ceramics Ltd.,SOMANYCERAEQ
Anant Raj Ltd.,ANANTRAJEQ
Madhav Marbles & Granites Ltd.,MADHAVEQ
Orient Bell Ltd.,ORIENTBELLEQ
Asian Granito India Ltd.,ASIANTILESEQ
Asian Granito India Ltd.,ASIAN-REBE
Asian Granito India Ltd.,ASIAN-RE1BE
Hindware Home Innovation Ltd.,HINDWAREAPEQ
Exxaro Tiles Ltd.,EXXAROEQ
ASI Industries Ltd.,ASOCSTONEBE
Pacific Industries Ltd.,PACIFICINDBE
HG Industries Ltd.,HIMGRANITEBE
Aro Granite Industries Ltd.,AROGRANITEEQ
Rajdarshan Industries Ltd.,ARENTERPBE
Pokarna Ltd.,POKARNAEQ
Oriental Trimex Ltd.,ORIENTALTLBE
Oriental Trimex Ltd.,ORIENT-REBE
Lexus Granito (India) Ltd.,LEXUSEQ
Global Surfaces Ltd.,GSLSUEQ
Sanathnagar Enterprises Ltd.,BAKELHYLAMBE
Stylam Industries Ltd.,STYLAMINDEQ
Rushil Decor Ltd.,RUSHILEQ
Rushil Decor Ltd.,RUSHILPP1E1
Rushil Decor Ltd.,RUSHIL-REBE
Rushil Decor Ltd.,RUSHI-RE1BE
Airo Lam Ltd.,AIROLAMEQ
Sylvan Plyboard (India) Ltd.,SYLVANPLYSM
Mangalam Timber Products Ltd.,MANGTIMBEREQ1
Mangalam Timber Products Ltd.,MANGTIMBEREQ
Greenply Industries Ltd.,GREENPLYEQ
Greenply Industries Ltd.,GREENPLYW1
Century Plyboards (India) Ltd.,CENTURYPLYEQ
Uniply Industries Ltd.,UNIPLYBZ
Archidply Industries Ltd.,ARCHIDPLYEQ
Marvel Decor Ltd.,MDLSM
Priti International Ltd.,PRITIEQ
Greenpanel Industries Ltd.,GREENPANELEQ
Archidply Decor Ltd.,ADLBE
Interiors & More Ltd.,INMSM
Durlax Top Surface Ltd.,DURLAXSM
Asian Paints Ltd.,ASIANPAINTEQ
Berger Paints (India) Ltd.,BERGEPAINTEQ1
